time, pressure
1609969080, 1001.6
1609970880, 1001.4
1609972680, 1001.3
1609974480, 1001.2
1609976280, 1001.0
1609978080, 1000.8
1609979880, 1000.5
1609981680, 1000.2
1609983480, 999.8
1609985280, 999.8
1609987080, 999.8
1609988880, 999.6
1609990680, 999.4
1609992480, 999.2
1609994280, 999.2
1609996080, 999.2
1609997880, 998.9
1609999680, 998.7
1610001480, 998.7
1610003280, 998.7
1610005080, 998.8
1610006880, 999.1
1610008680, 999.3
1610010480, 999.2
1610012280, 999.1
1610014080, 999.0
1610015880, 998.7
1610017680, 998.5
1610019480, 998.2
1610021280, 997.8
1610023080, 997.6
1610024880, 997.4
1610026680, 997.3
1610028480, 997.2
1610030280, 997.1
1610032080, 997.1
1610033880, 997.1
1610035680, 997.0
1610037480, 997.0
1610039280, 997.0
1610041080, 996.9
1610042880, 996.8
1610047140, 996.1
1610048940, 996.1
1610050740, 996.1
1610052540, 996.1
1610054340, 996.1
1610056140, 996.1
1610057940, 996.1
1610059740, 996.2
1610061540, 996.1
1610063340, 996.0
1610065140, 996.0
1610066940, 995.9
1610068740, 995.9
1610070540, 995.9
1610072340, 995.9
1610074140, 995.9
1610075940, 995.9
1610077740, 995.9
1610079540, 995.9
1610081340, 995.9
1610083140, 995.8
1610084940, 995.9
1610086740, 995.9
1610088540, 996.1
1610090340, 996.2
1610092140, 996.5
1610093940, 996.8
1610095740, 997.2
1610097540, 997.5
1610099340, 997.9
1610101140, 998.2
1610102940, 998.4
1610104740, 998.7
1610106540, 998.8
1610108340, 998.9
1610110140, 999.0
1610111940, 999.1
1610113740, 999.2
1610115540, 999.5
1610117967, 1000.0
1610119768, 1000.4
1610121568, 1000.8
1610123368, 1001.1
1610125168, 1001.3
1610126968, 1001.7
1610128768, 1001.9
1610130568, 1002.1
1610132368, 1002.5
1610134168, 1002.7
1610135968, 1003.0
1610137768, 1003.3
1610139569, 1003.6
1610141369, 1003.8
1610143169, 1004.0
1610144969, 1004.0
1610146769, 1004.2
1610148569, 1004.3
1610150369, 1004.3
1610152169, 1004.3
1610153969, 1004.4
1610155769, 1004.6
1610157569, 1004.9
1610159370, 1005.2
1610161170, 1005.2
1610162970, 1005.3
1610164770, 1005.2
1610166570, 1005.2
1610168370, 1005.4
1610170170, 1005.4
1610171970, 1005.6
1610173770, 1005.8
1610175570, 1005.9
1610177371, 1006.1
1610179171, 1006.2
1610180971, 1006.5
1610182771, 1006.5
1610184571, 1006.5
1610186371, 1006.6
1610188171, 1006.7
1610189971, 1006.4
1610191771, 1006.2
1610193571, 1006.4
1610195371, 1006.3
1610197172, 1005.9
1610198972, 1005.6
1610200772, 1005.6
